cc_num,change_date,new_job,new_city
4000000000000675,2024-02-06,Environmental health practitioner,Padillaberg
4000000000001700,2024-02-22,Software engineer,Lewismouth
4000000000001283,2024-05-20,Estate agent,Amandaport
4000000000001316,2024-04-11,Chief Financial Officer,Jessehaven
4000000000001211,2023-03-30,Museum education officer,Thomasside
4000000000001637,2024-01-05,Building surveyor,Michelleton
4000000000000614,2024-07-01,"Designer, jewellery",Brianaland
4000000000000448,2024-09-30,Building surveyor,New Robertburgh
4000000000001132,2024-10-26,Sub,East Tina
4000000000000809,2024-01-31,"Librarian, public",Port Howard
4000000000001497,2024-08-02,Medical sales representative,Chandlermouth
4000000000001469,2023-03-21,Chief Executive Officer,North Sophiashire
4000000000001683,2023-08-16,"Civil engineer, consulting",Ballardfurt
4000000000001150,2024-05-15,Careers information officer,Taylormouth
4000000000000443,2023-07-20,Sub,North Larry
4000000000001814,2023-03-20,Technical brewer,Lake Russell
4000000000000655,2024-07-03,Local government officer,Victorburgh
4000000000001265,2023-11-12,"Geologist, engineering",Richardbury
4000000000000859,2023-05-17,"Civil engineer, consulting",Valerieland
4000000000001483,2023-10-15,Agricultural consultant,Shannonville
4000000000000232,2024-01-16,"Designer, furniture",Andrewton
4000000000001822,2023-03-24,Theme park manager,Lake Nathanielburgh
4000000000001927,2024-09-18,Geophysicist/field seismologist,New Alexandermouth
4000000000000882,2024-02-19,Armed forces technical officer,Torresshire
4000000000000632,2023-09-14,"Designer, jewellery",Micheleburgh
4000000000000376,2023-12-05,Multimedia specialist,Lake Christine
4000000000001961,2024-08-13,Financial risk analyst,New Jeffery
4000000000000368,2023-11-24,"Engineer, manufacturing systems",Collinberg
4000000000000559,2023-11-30,"Psychologist, counselling",Audreymouth
4000000000000276,2023-09-11,Theme park manager,New Eduardo
4000000000001978,2023-10-02,"Production assistant, radio",Johnsonton
4000000000000875,2024-02-11,Museum/gallery conservator,Port Sarahport
4000000000001679,2024-10-30,Estate agent,West Feliciashire
4000000000000731,2023-04-08,Personnel officer,North Tyler
4000000000000574,2023-11-09,Therapeutic radiographer,New Samantha
