CustomerKey,cc_num,FirstName,LastName,Gender,City,State,Job,DOB,EffectiveDate,EndDate,IsCurrent
1,4000000000000998,Juan,Maxwell,F,Petersonburgh,CT,Armed forces technical officer,1955-05-03,1900-01-01,9999-12-31 00:00:00,True
2,4000000000000414,Sarah,Moore,F,Smithchester,ID,Museum/gallery conservator,2008-04-07,1900-01-01,9999-12-31 00:00:00,True
3,4000000000001449,Tiffany,Osborne,F,Lake Juliefurt,SD,"Pharmacist, hospital",1958-01-08,1900-01-01,9999-12-31 00:00:00,True
4,4000000000000039,Rodney,Hill,F,West Kellieview,GA,Building surveyor,1990-12-13,1900-01-01,9999-12-31 00:00:00,True
5,4000000000000737,Lacey,Martinez,M,West Tina,WY,Museum/gallery conservator,1984-05-17,1900-01-01,9999-12-31 00:00:00,True
6,4000000000001338,Molly,Robertson,M,North Valerie,GU,Town planner,1962-06-07,1900-01-01,9999-12-31 00:00:00,True
7,4000000000001509,Ashley,Nash,F,South Morgan,TN,Local government officer,1946-11-15,1900-01-01,9999-12-31 00:00:00,True
8,4000000000001471,Katrina,Gomez,F,Colemanchester,PA,"Pharmacist, hospital",1994-07-04,1900-01-01,9999-12-31 00:00:00,True
9,4000000000000375,Carla,Aguilar,F,Stephensstad,UT,"Psychologist, counselling",2001-06-12,1900-01-01,9999-12-31 00:00:00,True
10,4000000000001367,Tina,Santos,M,Bookerfurt,IA,Legal secretary,1942-10-27,1900-01-01,9999-12-31 00:00:00,True
11,4000000000001581,Timothy,Davis,M,Jenniferstad,OH,Sports administrator,1997-05-14,1900-01-01,9999-12-31 00:00:00,True
12,4000000000001417,Kathy,Macias,M,Andersonville,WY,"Civil engineer, consulting",1941-12-12,1900-01-01,9999-12-31 00:00:00,True
13,4000000000000884,Carla,Torres,M,Bryanfort,OR,"Exhibitions officer, museum/gallery",1952-01-06,1900-01-01,9999-12-31 00:00:00,True
14,4000000000000553,David,King,M,East Heather,SC,Museum/gallery conservator,1941-02-21,1900-01-01,9999-12-31 00:00:00,True
15,4000000000001067,Joshua,Miller,F,Ruizchester,MP,Risk analyst,1963-02-24,1900-01-01,9999-12-31 00:00:00,True
16,4000000000000426,Hannah,Abbott,M,Jamiehaven,ID,"Engineer, manufacturing systems",1991-05-26,1900-01-01,9999-12-31 00:00:00,True
17,4000000000000182,Jennifer,Frank,M,North Ericton,TX,Personnel officer,1946-01-22,1900-01-01,2024-01-16 00:00:00,False
18,4000000000000182,Jennifer,Frank,M,Nicoleland,TX,Haematologist,1946-01-22,2024-01-17,9999-12-31 00:00:00,True
19,4000000000001526,Javier,Clark,M,Lake Barbara,AL,Medical illustrator,1965-09-14,1900-01-01,9999-12-31 00:00:00,True
20,4000000000000424,Donald,Martinez,F,Bellchester,MD,Trade mark attorney,1994-05-05,1900-01-01,9999-12-31 00:00:00,True
21,4000000000001119,Thomas,Holt,F,Turnerstad,UT,Careers information officer,1986-05-12,1900-01-01,9999-12-31 00:00:00,True
22,4000000000001637,Elizabeth,Myers,F,South Robertchester,FL,"Designer, jewellery",1942-05-31,1900-01-01,2024-01-04 00:00:00,False
23,4000000000001637,Elizabeth,Myers,F,Michelleton,FL,Building surveyor,1942-05-31,2024-01-05,9999-12-31 00:00:00,True
24,4000000000000153,Cynthia,Marshall,F,Debraville,DC,"Engineer, manufacturing systems",1943-08-06,1900-01-01,9999-12-31 00:00:00,True
25,4000000000001551,Rebecca,Keller,M,North Theresastad,NJ,Sports administrator,2008-03-18,1900-01-01,9999-12-31 00:00:00,True
26,4000000000000851,Daniel,Brown,M,Myersshire,SC,Engineering geologist,1997-05-30,1900-01-01,9999-12-31 00:00:00,True
27,4000000000001890,Eric,Trujillo,F,East Catherine,PR,Museum/gallery conservator,1966-08-28,1900-01-01,9999-12-31 00:00:00,True
28,4000000000001533,Sean,Perkins,F,Lake Kellychester,IL,Sports administrator,1955-09-04,1900-01-01,9999-12-31 00:00:00,True
29,4000000000000274,Valerie,Grant,F,Kariborough,PA,Museum/gallery conservator,1975-02-26,1900-01-01,9999-12-31 00:00:00,True
30,4000000000001340,Todd,Stevenson,M,West Ronniefort,TN,Mechanical engineer,1998-11-01,1900-01-01,9999-12-31 00:00:00,True
31,4000000000000357,Anthony,Nelson,M,Henrystad,OH,Chief Strategy Officer,2004-07-21,1900-01-01,9999-12-31 00:00:00,True
32,4000000000000006,Christopher,Williams,F,East Courtneychester,PA,Environmental health practitioner,1944-10-30,1900-01-01,9999-12-31 00:00:00,True
33,4000000000001181,Douglas,Scott,M,East Kristopherchester,TX,Air traffic controller,1952-01-09,1900-01-01,9999-12-31 00:00:00,True
34,4000000000001198,Nancy,Curtis,M,Port Lisamouth,TX,"Pharmacist, hospital",1948-11-27,1900-01-01,9999-12-31 00:00:00,True
35,4000000000000273,Shannon,Pierce,M,East Theresafurt,MN,Legal secretary,1994-08-08,1900-01-01,9999-12-31 00:00:00,True
36,4000000000000306,Danielle,Shepard,M,Christinabury,DC,Therapeutic radiographer,1973-01-18,1900-01-01,9999-12-31 00:00:00,True
37,4000000000000431,William,Fuller,M,Hendersonfurt,CO,Health physicist,1984-02-05,1900-01-01,9999-12-31 00:00:00,True
38,4000000000000356,Samuel,Roberson,M,Cassiefurt,WI,Company secretary,1962-09-20,1900-01-01,9999-12-31 00:00:00,True
39,4000000000001996,Jennifer,Washington,M,Walkerchester,TN,Legal secretary,1958-08-05,1900-01-01,9999-12-31 00:00:00,True
40,4000000000001341,Holly,Garcia,M,Carterborough,VT,English as a second language teacher,1950-04-02,1900-01-01,9999-12-31 00:00:00,True
41,4000000000001161,Dwayne,Simmons,F,Millerton,NE,Sports administrator,2000-12-21,1900-01-01,9999-12-31 00:00:00,True
42,4000000000000445,Brian,Walker,F,South Caseymouth,VI,"Exhibitions officer, museum/gallery",1959-09-20,1900-01-01,9999-12-31 00:00:00,True
43,4000000000001871,Frances,Garcia,F,Mccannchester,ID,Geophysicist/field seismologist,1983-10-26,1900-01-01,9999-12-31 00:00:00,True
